FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20191,01/01/2019,03/31/2019,Open,Kern,09 - Central,0617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254 ,254 ,183 ,991 ,832 ,231 ,957 ,0 ,0 ,255 ,"1,049 ",0 ,57 ,"4,372 ",0 ,"4,566 ","3,247 ",810 ,"3,310 ",0 ,0 ,941 ,"2,974 ",0 ,261 ,"16,109 ",0 ,"11,158 ","3,847 ","1,859 ","12,407 ",0 ,0 ,"2,718 ","17,172 ",0 ,"2,360 ","51,521 ","87,779,550 ","69,264,201 ","17,538,829 ","61,353,301 ",0 ,0 ,"15,733,111 ","64,665,233 ",0 ,"1,775,445 ","318,109,670 ","40,758,895 ","33,501,801 ","5,636,865 ","51,008,821 ",0 ,0 ,"18,705,344 ","61,423,349 ",0 ,"6,935,778 ","217,970,853 ","5,868,323 ","106,728,541 ","81,682,132 ","17,401,574 ","95,687,479 ",0 ,0 ,0 ,"21,307,655 ","94,597,863 ",0 ,"891,047 ",0 ,0 ,0 ,"7,654,261 ","431,818,875 ",0 ,0 ,0 ,0 ,0 ,"20,661,771 ","20,603,896 ","5,404,191 ","16,115,243 ",0 ,0 ,"12,634,529 ","28,246,689 ",0 ,"595,329 ","104,261,648 ","1,213,371 ","100,443,734 ",0 ,"825,752 ",0 ,0 ,0 ,0 ,"4,203,112 ","131,856,658 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106171049,ADVENTIST HEALTH CLEARLAKE,20191,01/01/2019,03/31/2019,Open,Lake,01 - Northern California,0115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25 ,25 ,21 ,184 ,3 ,14 ,125 ,0 ,0 ,14 ,20 ,0 ,2 ,362 ,0 ,889 ,30 ,36 ,479 ,0 ,0 ,76 ,55 ,0 ,2 ,"1,567 ",0 ,"21,194 ",299 ,"5,817 ","21,588 ",0 ,0 ,"5,481 ","3,456 ",0 ,684 ,"58,519 ","10,797,377 ","297,794 ","504,556 ","6,115,113 ",0 ,0 ,"800,235 ","1,216,464 ",0 ,"26,867 ","19,758,406 ","22,133,133 ","651,907 ","3,469,451 ","20,434,065 ",0 ,0 ,"1,798,159 ","6,874,304 ",0 ,"1,280,475 ","56,641,494 ","959,591 ","21,872,113 ","654,104 ","336,756 ","19,125,537 ","(205,998)",0 ,0 ,"1,009,948 ","3,931,694 ",0 ,"1,162,647 ",0 ,0 ,0 ,"943,351 ","49,789,743 ",0 ,"2,574,885 ",0 ,0 ,"2,574,885 ","10,584,827 ","277,080 ","3,550,052 ","9,581,156 ",0 ,0 ,"1,459,923 ","3,858,375 ",0 ,"(126,371)","29,185,042 ","1,223,910 ","26,687,876 ",0 ,"6,136 ",0 ,0 ,0 ,0 ,"939,050 ","33,241,389 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106040875,ADVENTIST HEALTH FEATHER RIVER,20191,01/01/2019,03/31/2019,Open,Butte,01 - Northern California,0220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100 ,100 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"13,701 ",0 ,"4,459 ","9,262 ",0 ,0 ,"4,037 ","2,133 ",0 ,611 ,"34,203 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,948,763 ",0 ,"1,955,483 ","3,982,684 ",0 ,0 ,"312,766 ","3,160,425 ",0 ,"553,772 ","14,913,893 ","(919,665)","2,269,687 ",0 ,"1,315,578 ","1,170,340 ",0 ,0 ,0 ,"144,005 ","564,480 ",0 ,"582,185 ",0 ,0 ,0 ,"2,799,379 ","7,925,989 ",0 ,0 ,0 ,0 ,0 ,"2,343,573 ",0 ,"622,877 ","2,591,959 ",0 ,0 ,"84,479 ","1,807,470 ",0 ,"(462,454)","6,987,904 ","3,713,118 ","11,631,279 ",0 ,"(115,697)",0 ,0 ,0 ,0 ,"97,457 ","49,792,360 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106190323,ADVENTIST HEALTH GLENDALE,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515 ,462 ,289 ,"2,129 ",455 ,462 ,991 ,0 ,0 ,102 ,873 ,0 ,72 ,"5,084 ",0 ,"12,159 ","2,143 ","3,223 ","3,903 ",0 ,0 ,448 ,"3,460 ",0 ,269 ,"25,605 ",0 ,"15,535 ","2,431 ","1,559 ","9,902 ",0 ,0 ,"2,468 ","17,202 ",0 ,"1,091 ","50,188 ","231,922,076 ","47,719,218 ","38,751,555 ","95,102,859 ",0 ,0 ,"3,172,843 ","70,196,170 ",0 ,"5,826,315 ","492,691,036 ","67,950,281 ","19,843,493 ","7,530,459 ","62,712,558 ",0 ,0 ,"3,913,701 ","62,654,486 ",0 ,"14,096,730 ","238,701,708 ","5,740,758 ","260,465,696 ","46,250,925 ","34,674,407 ","148,050,997 ",0 ,0 ,0 ,"3,880,218 ","95,148,222 ",0 ,"10,787,238 ",0 ,0 ,0 ,"7,225,046 ","612,223,507 ",0 ,0 ,0 ,0 ,0 ,"35,626,089 ","20,148,431 ","8,795,512 ","8,377,410 ",0 ,0 ,"2,808,167 ","36,066,132 ",0 ,"7,347,496 ","119,169,237 ","4,119,791 ","124,602,852 ",0 ,"1,905,770 ",0 ,0 ,0 ,0 ,"2,231,822 ","196,461,694 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106164029,ADVENTIST HEALTH HANFORD,20191,01/01/2019,03/31/2019,Open,Kings,09 - Central,0615,Church,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230 ,230 ,135 ,903 ,232 ,207 ,812 ,0 ,0 ,162 ,355 ,0 ,37 ,"2,708 ",0 ,"4,753 ","1,277 ",805 ,"3,199 ",0 ,0 ,463 ,"1,090 ",0 ,176 ,"11,763 ",0 ,"14,403 ","2,586 ","3,359 ","29,634 ",0 ,0 ,"5,790 ","15,472 ",7 ,"2,330 ","73,581 ","46,744,080 ","11,321,693 ","7,945,565 ","33,609,172 ",0 ,0 ,"4,579,845 ","12,218,713 ",0 ,"1,595,719 ","118,014,787 ","34,784,209 ","8,399,310 ","8,547,462 ","77,076,969 ",0 ,0 ,"12,224,366 ","35,746,899 ","47,416 ","7,708,341 ","184,534,972 ","5,176,875 ","59,924,909 ","16,273,050 ","9,718,087 ","90,917,626 ","(1,094,663)",0 ,0 ,"9,170,497 ","27,711,829 ",0 ,"1,552,656 ",0 ,0 ,0 ,"7,037,958 ","226,388,824 ",0 ,"4,381,231 ",0 ,0 ,"4,381,231 ","15,796,283 ","3,118,566 ","8,880,275 ","25,707,009 ",0 ,0 ,"2,941,271 ","22,921,285 ",100 ,"1,177,377 ","80,542,166 ","2,725,975 ","73,602,329 ",0 ,"(423,836)",0 ,0 ,0 ,0 ,"2,240,794 ","203,075,843 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20191,01/01/2019,03/31/2019,Open,Mendocino,01 - Northern California,0112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25 ,25 ,25 ,248 ,15 ,18 ,83 ,0 ,0 ,9 ,45 ,0 ,5 ,423 ,0 ,"1,143 ",70 ,76 ,452 ,0 ,0 ,65 ,131 ,0 ,40 ,"1,977 ",0 ,"5,313 ",490 ,235 ,"4,317 ",0 ,0 ,"1,556 ","2,411 ",0 ,357 ,"14,679 ","19,339,583 ","951,648 ","901,515 ","6,221,764 ",0 ,0 ,"821,580 ","2,941,623 ",0 ,"485,810 ","31,663,523 ","7,069,387 ","826,763 ","680,571 ","7,310,507 ",0 ,0 ,"909,300 ","4,821,687 ",0 ,"665,489 ","22,283,704 ","580,153 ","18,604,777 ","1,230,456 ","911,994 ","9,855,390 ",0 ,0 ,0 ,"1,201,189 ","3,123,017 ",0 ,"1,064,594 ",0 ,0 ,0 ,"946,649 ","37,518,219 ",0 ,"1,281,986 ",0 ,0 ,"1,281,986 ","7,583,981 ","471,844 ","700,331 ","4,620,566 ",0 ,0 ,"451,351 ","4,351,095 ",0 ,"(468,174)","17,710,994 ","867,185 ","17,923,504 ",0 ,"655,456 ",0 ,0 ,0 ,0 ,"161,994 ","55,526,430 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106390923,ADVENTIST HEALTH LODI MEMORIAL,20191,01/01/2019,03/31/2019,Open,San Joaquin,06 - North San Joaquin,0505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190 ,190 ,94 ,893 ,240 ,129 ,547 ,0 ,0 ,41 ,304 ,0 ,35 ,"2,189 ",0 ,"3,673 ","1,039 ",514 ,"1,900 ",0 ,0 ,140 ,950 ,0 ,108 ,"8,324 ",0 ,"20,819 ","3,932 ","2,801 ","23,563 ",0 ,0 ,"4,391 ","14,028 ",58 ,"1,616 ","71,208 ","91,331,236 ","25,400,930 ","12,357,903 ","45,764,276 ",0 ,0 ,"3,557,754 ","25,805,931 ",0 ,"3,332,495 ","207,550,525 ","54,378,022 ","12,498,167 ","8,162,875 ","55,191,167 ",0 ,0 ,"6,879,971 ","36,358,316 ","35,385 ","7,146,277 ","180,650,180 ","4,227,905 ","123,218,022 ","34,221,271 ","16,952,468 ","91,693,881 ",0 ,0 ,0 ,"5,858,840 ","46,172,021 ",0 ,"715,777 ",0 ,0 ,0 ,"9,430,143 ","332,490,328 ",0 ,"1,314,177 ",0 ,0 ,"1,314,177 ","15,548,201 ","3,968,566 ","4,114,551 ","11,287,017 ",0 ,0 ,"1,990,581 ","19,165,401 ",141 ,"950,096 ","57,024,554 ","661,867 ","58,204,895 ",0 ,"(3,339,238)",0 ,0 ,0 ,0 ,"40,279 ","126,569,273 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106100797,ADVENTIST HEALTH REEDLEY,20191,01/01/2019,03/31/2019,Open,Fresno,09 - Central,0607,District,Comparable,Rural,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49 ,49 ,15 ,58 ,16 ,68 ,216 ,0 ,0 ,2 ,48 ,0 ,5 ,413 ,0 ,211 ,66 ,152 ,456 ,0 ,0 ,4 ,103 ,0 ,20 ,"1,012 ",0 ,"19,451 ","3,982 ","12,446 ","90,555 ",0 ,0 ,"1,494 ","18,853 ","3,109 ","3,104 ","152,994 ","1,755,209 ","532,345 ","1,377,221 ","4,211,836 ",0 ,0 ,"28,869 ","939,385 ",0 ,"196,962 ","9,041,827 ","9,252,768 ","2,110,384 ","5,601,415 ","40,054,760 ",0 ,0 ,"1,415,270 ","7,872,811 ","522,391 ","2,777,086 ","69,606,885 ","1,500,392 ","4,939,762 ","1,930,433 ","2,925,428 ","16,602,371 ","(1,230,261)",0 ,0 ,"884,359 ","5,258,171 ",0 ,"740,231 ",0 ,0 ,0 ,"2,013,523 ","35,564,409 ",0 ,0 ,0 ,"557,862 ","557,862 ","4,440,339 ","673,907 ","5,755,077 ","27,455,830 ",0 ,0 ,"395,077 ","4,377,309 ","92,089 ","452,537 ","43,642,165 ","2,962,394 ","38,657,397 ",0 ,"298,601 ",0 ,0 ,0 ,0 ,"712,549 ","33,342,947 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106580996,ADVENTIST HEALTH RIDEOUT,20191,01/01/2019,03/31/2019,Open,Yuba,02 - Golden Empire,0227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221 ,221 ,166 ,"1,434 ",42 ,255 ,734 ,1 ,0 ,461 ,0 ,0 ,19 ,"2,946 ",0 ,"8,213 ",175 ,"1,103 ","3,271 ",3 ,0 ,"1,791 ",0 ,0 ,354 ,"14,910 ",0 ,"22,586 ",603 ,"2,538 ","13,979 ",20 ,0 ,"12,563 ",0 ,0 ,"1,978 ","54,267 ","121,594,408 ","2,588,914 ","14,843,216 ","44,756,285 ","64,122 ",0 ,"30,563,162 ",0 ,0 ,"2,886,063 ","217,296,170 ","62,811,001 ","1,676,325 ","7,057,901 ","38,872,328 ","54,762 ",0 ,"34,935,700 ",0 ,0 ,"5,501,047 ","150,909,064 ","3,652,417 ","145,932,162 ","3,427,924 ","18,677,193 ","67,492,735 ",0 ,"107,528 ",0 ,"22,787,790 ",0 ,0 ,0 ,0 ,0 ,0 ,"3,181,513 ","265,259,262 ",0 ,0 ,0 ,0 ,0 ,"38,473,245 ","837,316 ","3,223,925 ","16,135,878 ","11,357 ",0 ,"40,501,305 ",0 ,0 ,"3,762,946 ","102,945,972 ","1,845,704 ","109,945,518 ","13,176,346 ","261,607 ",0 ,0 ,0 ,0 ,"1,549,033 ","342,339,999 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106560525,ADVENTIST HEALTH SIMI VALLEY,20191,01/01/2019,03/31/2019,Open,Ventura,10 - Santa Barbara/Ventura,0813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144 ,85 ,78 ,686 ,272 ,79 ,280 ,0 ,0 ,26 ,403 ,0 ,10 ,"1,756 ",0 ,"3,196 ","1,167 ",243 ,951 ,0 ,0 ,91 ,"1,276 ",0 ,41 ,"6,965 ",0 ,"2,754 ",873 ,784 ,"3,560 ",0 ,0 ,"3,369 ","8,615 ",0 ,328 ,"20,283 ","55,934,646 ","21,266,035 ","1,960,744 ","15,315,170 ",0 ,0 ,"825,396 ","23,228,739 ",0 ,"1,977,294 ","120,508,024 ","14,209,000 ","7,760,798 ","3,546,305 ","15,208,256 ",0 ,0 ,"1,396,700 ","28,996,884 ",0 ,"2,682,375 ","73,800,318 ","1,762,645 ","59,077,872 ","22,373,264 ","4,974,277 ","28,059,633 ",0 ,0 ,0 ,"753,261 ","33,937,785 ",0 ,"1,469,685 ",0 ,0 ,0 ,"3,935,397 ","156,343,819 ",0 ,0 ,0 ,0 ,0 ,"10,043,308 ","6,225,472 ","529,974 ","2,206,194 ",0 ,0 ,"1,554,172 ","16,210,470 ",0 ,"1,194,933 ","37,964,523 ","491,756 ","40,897,376 ",0 ,"31,490 ",0 ,0 ,0 ,0 ,"366,471 ","123,713,024 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
