Name,Location,Year,Car_Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine(CC),Power(bhp),Seats,Price
Maruti Wagon R LXI CNG,Mumbai,2010,14,72000,CNG,Manual,First,34.32,998.0,58.16,5.0,1.75
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,9,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5
Honda Jazz V,Chennai,2011,13,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5
Maruti Ertiga VDI,Chennai,2012,12,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,11,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74
Hyundai EON LPG Era Plus Option,Hyderabad,2012,12,75000,LPG,Manual,First,27.23,814.0,55.2,5.0,2.35
Nissan Micra Diesel XV,Jaipur,2013,11,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,8,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5
Volkswagen Vento Diesel Comfortline,Pune,2013,11,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2
Tata Indica Vista Quadrajet LS,Chennai,2012,12,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95
Maruti Ciaz Zeta,Kochi,2018,6,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95
Honda City 1.5 V AT Sunroof,Kolkata,2012,12,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49
Maruti Swift VDI BSIV,Jaipur,2015,9,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6
Land Rover Range Rover 2.2L Pure,Delhi,2014,10,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0
Land Rover Freelander 2 TD4 SE,Pune,2012,12,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5
Mitsubishi Pajero Sport 4X4,Delhi,2014,10,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0
Honda Amaze S i-Dtech,Kochi,2016,8,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4
Maruti Swift DDiS VDI,Jaipur,2017,7,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,10,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,10,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0
BMW 3 Series 320d,Kochi,2014,10,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55
